                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7666,                  11.58,                 1.7051,                0.34272,                0.02439,                0.04756,                0.01968,                 2.2402,                 3.7393,                 2.2192,              0.0032959,              0.0032959,              0.0032959
                      2,                 1.7718,                 4.3379,                 1.6531,                0.00557,                0.73171,                0.04211,                0.01984,                 2.1836,                 3.7435,                 1.8952,              0.0066161,              0.0066161,              0.0066161
                      3,                 2.1919,                 4.0029,                 2.0018,                 0.0845,                0.09756,                0.03341,                0.00754,                 2.7324,                 3.9255,                 3.3308,              0.0099231,              0.0099231,              0.0099231
                      4,                 2.5705,                   4.69,                 2.3344,                0.00022,                0.09756,                0.00029,                  8e-05,                 4.4123,                 5.6394,                 18.979,              0.0099406,              0.0099406,              0.0099406
                      5,                  3.221,                 4.8577,                 2.8887,                0.00022,                0.09756,                0.00029,                  8e-05,                    nan,                    nan,                    nan,              0.0099406,              0.0099406,              0.0099406
                      6,                  3.227,                 4.7898,                 3.0081,                0.00022,                0.09756,                0.00029,                  8e-05,                    nan,                    nan,                    nan,              0.0099208,              0.0099208,              0.0099208
                      7,                 3.2457,                 4.7326,                 3.0107,                0.00151,                0.36585,                 0.0011,                0.00032,                 2.8451,                  4.483,                 3.1064,               0.009901,               0.009901,               0.009901
                      8,                 3.2381,                 4.8431,                 3.0147,                0.00042,                0.21951,                 0.0024,                  0.001,                  2.494,                 5.5873,                 2.9898,              0.0098812,              0.0098812,              0.0098812
                      9,                  3.023,                   4.63,                  2.849,                0.00078,                0.78049,                 0.0025,                0.00055,                  2.849,                 4.5059,                 3.0671,              0.0098614,              0.0098614,              0.0098614
                     10,                 3.0282,                 4.5128,                 2.8368,                0.00789,                0.70732,                0.03814,                0.01095,                 2.7159,                 3.7422,                 2.9517,              0.0098416,              0.0098416,              0.0098416
                     11,                   3.15,                   4.58,                 2.9699,                0.00032,                0.58537,                0.00051,                0.00017,                 3.1388,                 8.9081,                 3.5965,              0.0098218,              0.0098218,              0.0098218
                     12,                 3.1565,                 4.6605,                 2.9716,                0.00442,                0.60976,                0.01055,                0.00323,                 2.6125,                 4.0684,                 2.7866,               0.009802,               0.009802,               0.009802
                     13,                 3.0867,                 4.4682,                 2.9212,                0.00245,                0.58537,                 0.0562,                0.01151,                  2.707,                 3.8901,                 3.0219,              0.0097822,              0.0097822,              0.0097822
                     14,                 2.9493,                 4.5824,                 2.8589,                0.00079,                0.78049,                0.02685,                0.00677,                 2.5939,                 4.8748,                 2.9026,              0.0097624,              0.0097624,              0.0097624
                     15,                 2.9439,                 4.5255,                 2.7688,                0.00666,                 0.7561,                0.06826,                0.01776,                 2.8056,                 3.7487,                 3.0681,              0.0097426,              0.0097426,              0.0097426
                     16,                 2.9489,                 4.5692,                 2.9355,                0.00408,                0.78049,                0.03525,                0.00924,                  2.685,                 3.6553,                 3.0084,              0.0097228,              0.0097228,              0.0097228
                     17,                 2.8986,                  4.386,                 2.8279,                0.00148,                0.78049,                0.05996,                0.02174,                 2.5106,                 3.8346,                 2.8164,               0.009703,               0.009703,               0.009703
                     18,                 2.8007,                  4.345,                 2.6895,                0.07306,                0.39024,                0.10661,                0.03527,                 2.7289,                 4.2954,                 2.8476,              0.0096832,              0.0096832,              0.0096832
                     19,                 2.9758,                 4.2759,                 2.8373,                0.00286,                0.73171,                0.10139,                0.01892,                 2.6533,                 3.6397,                 2.8229,              0.0096634,              0.0096634,              0.0096634
                     20,                 2.8879,                 4.3794,                 2.8464,                0.00976,                0.53659,                0.10994,                0.02225,                 2.6552,                 5.9316,                 3.2567,              0.0096436,              0.0096436,              0.0096436
                     21,                 2.7987,                 4.3098,                 2.7165,                0.00155,                0.80488,                0.07401,                0.02019,                 2.5341,                 4.0166,                 2.8709,              0.0096238,              0.0096238,              0.0096238
                     22,                 2.8259,                 4.3821,                 2.7802,                0.00483,                0.78049,                0.13936,                0.05115,                 2.2766,                 3.4248,                 2.6872,               0.009604,               0.009604,               0.009604
                     23,                 2.5954,                 4.1355,                 2.6059,                0.00114,                0.80488,                0.08006,                0.02399,                  2.475,                 4.4102,                 2.8719,              0.0095842,              0.0095842,              0.0095842
                     24,                 2.6498,                 4.1814,                 2.5825,                 0.0121,                0.34146,                0.05634,                0.01556,                 2.4464,                 4.3617,                  2.785,              0.0095644,              0.0095644,              0.0095644
                     25,                 2.7313,                 4.1776,                  2.706,                0.00282,                0.80488,                0.10489,                0.04324,                 2.4319,                 3.3996,                 2.7676,              0.0095446,              0.0095446,              0.0095446
                     26,                 2.8513,                 4.3136,                 2.7788,                0.00717,                0.63415,                0.10726,                 0.0419,                 2.5009,                 3.4918,                 2.8898,              0.0095248,              0.0095248,              0.0095248
                     27,                 2.6642,                 4.1419,                  2.666,                0.01663,                0.56098,                0.08917,                0.03897,                 2.5647,                 3.6706,                 2.8086,               0.009505,               0.009505,               0.009505
                     28,                 2.7356,                 4.2112,                 2.6514,                0.00562,                0.53659,                0.04065,                0.01353,                 2.7179,                 3.8998,                  3.015,              0.0094852,              0.0094852,              0.0094852
                     29,                 2.7141,                 4.1896,                 2.6707,                0.00202,                0.80488,                 0.1848,                0.06357,                 2.3161,                 3.6472,                 2.7311,              0.0094654,              0.0094654,              0.0094654
                     30,                 2.6938,                 3.9651,                 2.7161,                0.01704,                0.73171,                0.19317,                0.06337,                 2.6203,                 3.5369,                 2.8714,              0.0094456,              0.0094456,              0.0094456
                     31,                  2.693,                 4.0315,                  2.697,                0.00304,                0.82927,                0.16123,                0.05235,                 2.1889,                 3.2839,                 2.5788,              0.0094258,              0.0094258,              0.0094258
                     32,                  2.702,                 4.0139,                  2.727,                0.00977,                0.73171,                0.09346,                0.03066,                 2.4396,                 3.5295,                 2.7288,               0.009406,               0.009406,               0.009406
                     33,                 2.5924,                 3.9932,                 2.6364,                0.02871,                0.56098,                 0.1264,                0.05547,                 2.4662,                 3.6917,                 2.7488,              0.0093862,              0.0093862,              0.0093862
                     34,                 2.7385,                 4.0792,                 2.7035,                0.23523,                 0.2439,                0.11281,                0.03665,                 2.2763,                 3.6098,                 2.6543,              0.0093664,              0.0093664,              0.0093664
                     35,                 2.5276,                 3.8607,                  2.509,                0.28811,                0.21951,                0.17752,                0.06621,                 2.4144,                 4.2381,                 2.7681,              0.0093466,              0.0093466,              0.0093466
                     36,                  2.584,                  3.943,                 2.6052,                 0.3491,                0.26829,                0.22355,                0.10053,                  2.343,                 3.5276,                 2.6349,              0.0093268,              0.0093268,              0.0093268
                     37,                  2.576,                 4.1201,                 2.6814,                0.30789,                0.31707,                0.22445,                0.10338,                 2.3989,                 3.9663,                 2.9479,               0.009307,               0.009307,               0.009307
                     38,                 2.6565,                 4.0022,                 2.6268,                0.28043,                0.14634,                0.14016,                0.04674,                 2.3565,                 3.3508,                 2.8451,              0.0092872,              0.0092872,              0.0092872
                     39,                 2.5954,                 3.7908,                 2.5393,                 0.3114,                0.21951,                0.17363,                0.07989,                 2.3283,                 3.0804,                 2.6514,              0.0092674,              0.0092674,              0.0092674
                     40,                 2.5852,                 3.8331,                 2.5321,                0.28651,                0.19591,                0.13243,                0.06304,                 2.1986,                 2.9323,                 2.6147,              0.0092476,              0.0092476,              0.0092476
                     41,                 2.6192,                 3.5236,                  2.646,                 0.2201,                0.22029,                0.12225,                0.04281,                 2.2418,                 3.2501,                 2.7427,              0.0092278,              0.0092278,              0.0092278
                     42,                 2.6322,                 4.0209,                 2.6667,                0.14062,                0.26829,                0.12187,                0.03827,                 2.2215,                 3.2054,                 2.6266,               0.009208,               0.009208,               0.009208
                     43,                 2.6108,                 3.9075,                 2.6013,                0.61916,                0.26829,                0.31432,                0.11972,                 2.3524,                 2.8291,                 2.7719,              0.0091882,              0.0091882,              0.0091882
                     44,                 2.5779,                 3.8178,                 2.6563,                0.73515,                0.06882,                 0.1421,                0.04488,                 2.3711,                 3.3447,                 2.7304,              0.0091684,              0.0091684,              0.0091684
                     45,                 2.5977,                 3.7372,                 2.6343,                0.36538,                0.36585,                0.25482,                0.08592,                 2.2066,                 3.8455,                 2.6712,              0.0091486,              0.0091486,              0.0091486
                     46,                 2.5347,                   3.66,                 2.5739,                0.44253,                0.32934,                0.26466,                0.10869,                 2.2558,                 3.1984,                  2.638,              0.0091288,              0.0091288,              0.0091288
                     47,                 2.4112,                 3.6059,                 2.4465,                0.32247,                0.26829,                 0.2767,                0.09346,                 2.3213,                  5.371,                 2.7607,               0.009109,               0.009109,               0.009109
                     48,                 2.4377,                 3.6242,                 2.4915,                0.35397,                0.14634,                0.23939,                0.09665,                 2.3608,                 3.0943,                 2.6902,              0.0090892,              0.0090892,              0.0090892
                     49,                 2.3851,                 3.6273,                 2.4599,                0.40097,                0.31707,                0.32469,                0.13219,                 2.3186,                 2.6653,                 2.6197,              0.0090694,              0.0090694,              0.0090694
                     50,                 2.5247,                 3.5566,                 2.5167,                0.36586,                0.36585,                0.30431,                0.14361,                  2.162,                 2.6732,                 2.5852,              0.0090496,              0.0090496,              0.0090496
                     51,                 2.3764,                  3.669,                 2.4214,                0.42256,                0.17073,                0.28643,                 0.1299,                 2.0011,                 2.7487,                 2.5566,              0.0090298,              0.0090298,              0.0090298
                     52,                 2.3504,                 3.6024,                 2.3894,                0.25674,                0.19512,                0.25414,                0.09942,                  2.017,                 4.6617,                 2.6016,                0.00901,                0.00901,                0.00901
                     53,                 2.3624,                 3.6014,                  2.434,                0.29357,                0.31707,                0.23473,                 0.1169,                 2.1043,                 2.6216,                  2.528,              0.0089902,              0.0089902,              0.0089902
                     54,                 2.3899,                 3.4104,                  2.469,                 0.5961,                0.31707,                0.34467,                0.14669,                 2.0884,                  2.785,                 2.5586,              0.0089704,              0.0089704,              0.0089704
                     55,                 2.3012,                 3.4424,                   2.39,                0.74125,                0.14036,                0.30051,                 0.1249,                 2.1837,                 3.1632,                 2.5403,              0.0089506,              0.0089506,              0.0089506
                     56,                 2.3699,                 3.5783,                  2.424,                0.71455,                0.06279,                 0.2246,                0.10709,                 2.2306,                  3.259,                 2.6401,              0.0089308,              0.0089308,              0.0089308
                     57,                 2.5001,                 3.6444,                 2.4825,                0.32987,                 0.3483,                0.30482,                0.13088,                 2.4594,                   2.63,                 2.7096,               0.008911,               0.008911,               0.008911
                     58,                 2.4097,                 3.4254,                 2.3872,                0.64575,                 0.2439,                0.34664,                0.18533,                 2.2993,                 2.8176,                 2.7256,              0.0088912,              0.0088912,              0.0088912
                     59,                 2.4019,                 3.4179,                 2.4879,                0.40988,                0.36585,                0.35043,                0.13547,                 2.2825,                 2.5737,                 2.6702,              0.0088714,              0.0088714,              0.0088714
                     60,                 2.2909,                 3.3582,                 2.2789,                0.33221,                0.31707,                0.30751,                0.12313,                 2.2884,                 2.6152,                 2.6113,              0.0088516,              0.0088516,              0.0088516
                     61,                 2.3039,                 3.4442,                  2.367,                0.33214,                0.26829,                0.25357,                0.11457,                 2.0619,                  2.842,                 2.4983,              0.0088318,              0.0088318,              0.0088318
                     62,                 2.3697,                 3.3683,                 2.3504,                0.45097,                0.31707,                0.29626,                0.12775,                 2.1589,                 2.6277,                 2.4941,               0.008812,               0.008812,               0.008812
                     63,                 2.2829,                 3.3253,                 2.3254,                0.45756,                0.34146,                0.33629,                0.14354,                 2.1138,                 2.4985,                 2.5398,              0.0087922,              0.0087922,              0.0087922
                     64,                 2.2822,                 3.1089,                 2.3347,                0.23526,                0.41463,                0.29462,                0.13271,                 2.2155,                 2.6551,                 2.7095,              0.0087724,              0.0087724,              0.0087724
                     65,                 2.2038,                 3.1115,                 2.2765,                0.42134,                 0.2439,                 0.3113,                0.14996,                 2.2573,                 2.7792,                 2.6639,              0.0087526,              0.0087526,              0.0087526
                     66,                  2.246,                 3.3203,                 2.2678,                0.43487,                0.36585,                0.31133,                0.13465,                 2.1224,                 2.8841,                 2.4999,              0.0087328,              0.0087328,              0.0087328
                     67,                 2.2524,                 3.1262,                 2.2679,                0.46246,                0.36585,                 0.3458,                0.12809,                 2.0772,                 2.7619,                  2.569,               0.008713,               0.008713,               0.008713
                     68,                 2.2159,                  3.107,                 2.2879,                0.35792,                0.26829,                 0.3005,                0.15936,                 2.0901,                 2.5539,                 2.5123,              0.0086932,              0.0086932,              0.0086932
                     69,                 2.1033,                 3.0221,                 2.1905,                0.66607,                0.29268,                0.35872,                0.12716,                 2.1345,                 2.6061,                 2.4955,              0.0086734,              0.0086734,              0.0086734
                     70,                 2.3353,                 3.2663,                 2.3527,                0.39475,                0.34146,                0.37058,                0.20412,                 2.0203,                 2.7172,                 2.3808,              0.0086536,              0.0086536,              0.0086536
                     71,                  2.316,                 3.4379,                 2.2645,                0.45877,                0.36585,                0.40137,                 0.2003,                 2.0779,                 2.5727,                 2.4452,              0.0086338,              0.0086338,              0.0086338
                     72,                 2.2922,                 3.0529,                 2.3647,                0.87321,                0.31707,                0.40667,                0.19963,                 2.0519,                 3.3476,                 2.5399,               0.008614,               0.008614,               0.008614
                     73,                 2.1813,                 3.0968,                 2.3347,                0.39578,                0.20797,                0.31643,                0.15086,                 2.1304,                 2.8288,                 2.5461,              0.0085942,              0.0085942,              0.0085942
                     74,                   2.35,                 3.1822,                 2.3596,                0.40514,                0.36585,                0.37877,                0.18184,                 1.9487,                  2.466,                  2.444,              0.0085744,              0.0085744,              0.0085744
                     75,                 2.3417,                    3.4,                 2.3805,                0.38565,                0.26829,                0.30486,                0.11622,                 2.1533,                 2.6752,                 2.6041,              0.0085546,              0.0085546,              0.0085546
                     76,                 2.3937,                   3.14,                 2.3754,                0.52124,                 0.2439,                0.37702,                0.13986,                 2.2154,                 2.7196,                 2.5948,              0.0085348,              0.0085348,              0.0085348
                     77,                 2.1434,                 3.0139,                 2.2418,                0.63574,                0.29268,                0.42332,                0.20758,                  2.069,                 2.3657,                  2.461,               0.008515,               0.008515,               0.008515
                     78,                 2.1484,                  2.793,                 2.2584,                0.37076,                 0.5122,                0.35258,                0.13972,                 2.3102,                 2.5023,                   2.69,              0.0084952,              0.0084952,              0.0084952
                     79,                 2.1193,                 2.9943,                 2.2111,                0.69162,                0.34146,                0.45407,                0.19871,                 1.9153,                 2.3334,                 2.3672,              0.0084754,              0.0084754,              0.0084754
                     80,                 2.1049,                 2.9053,                 2.2384,                0.75401,                0.31707,                0.42024,                0.19724,                 2.0503,                 2.1946,                 2.4127,              0.0084556,              0.0084556,              0.0084556
                     81,                 2.1515,                 2.8994,                 2.2519,                0.83936,                0.34146,                0.48771,                0.21441,                 2.0664,                  2.421,                 2.4426,              0.0084358,              0.0084358,              0.0084358
                     82,                 2.2699,                 3.0169,                 2.3226,                0.49257,                0.34146,                0.40256,                0.15736,                 2.1358,                 4.0085,                 2.4603,               0.008416,               0.008416,               0.008416
                     83,                 2.1828,                 3.0322,                 2.2969,                0.53487,                0.29268,                0.37607,                 0.1892,                 2.1041,                 2.8497,                 2.4999,              0.0083962,              0.0083962,              0.0083962
                     84,                 2.1376,                 3.0141,                 2.1305,                0.48966,                 0.4878,                 0.4301,                0.22601,                  1.948,                 2.3002,                 2.3847,              0.0083764,              0.0083764,              0.0083764
                     85,                 2.1003,                 2.9655,                 2.1776,                0.50454,                0.39024,                0.43402,                0.22539,                 1.9281,                  2.869,                  2.381,              0.0083566,              0.0083566,              0.0083566
                     86,                 2.2332,                 3.0164,                 2.2495,                0.43039,                0.29268,                0.35855,                0.13842,                  2.241,                 2.5625,                 2.6985,              0.0083368,              0.0083368,              0.0083368
