                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6463,                  5.226,                 1.3296,                0.00176,                0.90323,                0.20007,                0.11399,                 1.4369,                 5.5148,                 1.2493,              0.0032828,              0.0032828,              0.0032828
                      2,                 1.5833,                 3.6183,                 1.2779,                0.82222,                 0.3871,                 0.5179,                0.22774,                 1.5918,                 3.8947,                 1.3168,              0.0066155,              0.0066155,              0.0066155
                      3,                 1.5938,                 2.8768,                 1.2971,                0.58619,                0.51613,                0.58373,                 0.2981,                 1.9624,                 2.9221,                 1.6316,              0.0099475,              0.0099475,              0.0099475
                      4,                 1.7192,                 2.3837,                 1.3706,                0.55418,                0.54839,                0.52318,                0.25015,                 1.9187,                 4.1494,                 1.7152,               0.009997,               0.009997,               0.009997
                      5,                 1.6688,                 2.0094,                 1.4172,                0.80674,                0.53897,                0.66064,                  0.399,                 1.8509,                 1.9621,                 1.6249,               0.009997,               0.009997,               0.009997
                      6,                 1.7817,                 1.8404,                 1.4673,                0.52927,                0.72558,                0.58874,                 0.2708,                 1.9276,                 2.0077,                 1.7599,               0.009996,               0.009996,               0.009996
                      7,                 1.7413,                 1.6233,                 1.4496,                0.93743,                0.74194,                 0.8235,                 0.4558,                 1.8111,                 1.4356,                 1.6608,              0.0099951,              0.0099951,              0.0099951
                      8,                 1.6509,                 1.4216,                  1.394,                0.79143,                0.73461,                 0.7694,                0.45088,                 1.7523,                 1.4063,                 1.6388,              0.0099941,              0.0099941,              0.0099941
                      9,                 1.6198,                 1.3487,                 1.3884,                0.69678,                0.80645,                0.79539,                0.37373,                 1.9427,                 1.4205,                 1.9495,              0.0099931,              0.0099931,              0.0099931
                     10,                 1.5909,                  1.335,                  1.405,                0.86748,                0.67742,                0.82163,                0.47771,                 1.7712,                 1.3247,                 1.6057,              0.0099921,              0.0099921,              0.0099921
                     11,                  1.604,                 1.3756,                 1.3963,                0.89375,                0.67742,                0.78018,                 0.4907,                 1.7655,                 1.1606,                 1.5163,              0.0099911,              0.0099911,              0.0099911
                     12,                 1.6609,                 1.3301,                 1.4626,                0.85318,                0.75004,                0.82496,                0.44827,                 1.8618,                 1.4029,                 1.6988,              0.0099901,              0.0099901,              0.0099901
                     13,                 1.6627,                 1.4565,                 1.4262,                0.86615,                0.70968,                0.80099,                0.52071,                 1.7241,                 1.2508,                 1.6164,              0.0099891,              0.0099891,              0.0099891
                     14,                 1.6136,                  1.183,                 1.4161,                0.75237,                0.80645,                0.77847,                 0.4633,                 1.8928,                 1.2107,                 1.6466,              0.0099881,              0.0099881,              0.0099881
